frame,player,left_heel_x,left_heel_y,right_heel_x,right_heel_y
35,player1,730,527,738,517
38,player1,727,533,750,535
39,player1,722,553,746,558
40,player1,720,556,742,566
41,player1,719,558,740,570
42,player1,719,559,738,571
43,player1,718,559,736,572
44,player1,717,559,736,571
45,player1,716,562,735,570
46,player1,716,561,736,567
47,player1,715,559,737,567
48,player1,714,559,737,560
49,player1,712,560,738,552
50,player1,712,560,739,544
51,player1,712,561,739,540
52,player1,712,561,739,538
53,player1,712,560,739,536
54,player1,712,561,739,538
55,player1,713,562,740,538
56,player1,713,563,741,537
57,player1,713,563,742,534
58,player1,714,564,744,532
59,player1,715,563,745,527
60,player1,717,563,745,523
61,player1,718,561,745,523
62,player1,720,558,746,524
63,player1,723,554,746,526
64,player1,726,553,746,527
65,player1,730,553,747,528
66,player1,731,554,747,527
67,player1,733,554,745,530
68,player1,734,554,744,531
69,player1,734,554,744,535
70,player1,735,554,743,534
71,player1,735,553,743,534
72,player1,735,553,743,538
73,player1,734,552,743,538
74,player1,734,551,743,537
75,player1,734,550,743,538
76,player1,733,548,740,532
77,player1,732,546,739,529
78,player1,731,544,739,530
79,player1,729,544,739,530
80,player1,726,542,739,530
81,player1,724,542,741,527
82,player1,720,543,743,526
83,player1,716,543,746,527
84,player1,710,545,747,527
85,player1,705,548,748,528
86,player1,704,551,749,530
87,player1,702,553,749,530
88,player1,703,554,748,530
89,player1,703,556,748,530
90,player1,704,558,748,530
91,player1,704,560,746,530
92,player1,703,560,743,530
93,player1,702,561,741,530
94,player1,702,561,738,530
95,player1,702,561,737,530
96,player1,701,560,735,530
97,player1,701,560,731,530
98,player1,700,560,727,527
99,player1,699,558,725,528
100,player1,698,556,721,534
101,player1,697,552,716,537
102,player1,695,551,714,539
103,player1,692,548,716,540
104,player1,688,548,716,541
105,player1,681,549,712,541
106,player1,675,550,710,542
107,player1,671,553,710,544
108,player1,668,555,709,544
109,player1,663,557,709,545
110,player1,662,558,709,546
111,player1,662,559,708,547
112,player1,664,559,709,548
113,player1,666,558,709,549
114,player1,666,558,710,550
115,player1,669,558,711,550
116,player1,674,559,710,550
117,player1,677,561,710,545
118,player1,678,562,710,542
119,player1,679,564,710,542
120,player1,680,565,711,546
121,player1,681,566,711,552
122,player1,681,565,705,554
123,player1,680,565,697,557
124,player1,679,565,693,557
125,player1,673,564,687,557
126,player1,670,564,682,559
127,player1,669,565,675,564
128,player1,667,566,667,561
129,player1,663,567,656,562
130,player1,659,568,648,565
131,player1,650,568,644,567
132,player1,650,572,636,571
133,player1,645,574,631,579
134,player1,650,578,628,578
135,player1,652,581,626,580
136,player1,649,581,624,596
137,player1,651,579,624,595
138,player1,652,579,621,600
139,player1,630,591,617,609
140,player1,634,590,604,613
141,player1,631,590,602,617
142,player1,622,597,603,620
143,player1,610,613,601,624
144,player1,603,620,600,626
145,player1,590,610,601,623
146,player1,584,607,601,623
147,player1,571,604,604,620
148,player1,559,601,604,620
149,player1,543,600,604,620
150,player1,517,600,610,619
151,player1,516,600,612,619
152,player1,505,598,618,619
153,player1,496,597,620,615
154,player1,487,597,623,612
155,player1,478,597,624,606
156,player1,464,603,625,601
157,player1,451,611,623,596
158,player1,438,620,622,593
159,player1,426,629,622,585
160,player1,416,645,622,578
161,player1,409,659,620,567
162,player1,407,672,612,564
163,player1,406,681,604,563
164,player1,406,688,598,571
165,player1,404,693,593,590
166,player1,407,694,585,605
167,player1,408,693,574,616
168,player1,408,691,565,640
169,player1,407,692,560,654
170,player1,406,692,560,651
171,player1,404,690,559,645
172,player1,404,689,555,644
173,player1,406,690,554,643
174,player1,407,690,556,644
